variable,Street km,Daily Trips,Daily Trips/km2,Street km/km2,ES Crashes,Crashes/km2,Crashes/10km Street,Crashes/10km BP,Crashes/10M Trips,Severity %,BP km,BP km/km2,BP Share %
Street km,1.000,0.989,0.964,0.846,0.597,0.686,0.214,0.521,-0.545,-0.420,-0.143,0.282,-0.739
Daily Trips,0.989,1.000,0.961,0.807,0.640,0.707,0.275,0.591,-0.527,-0.379,-0.164,0.200,-0.757
Daily Trips/km2,0.964,0.961,1.000,0.921,0.689,0.811,0.332,0.622,-0.418,-0.347,-0.307,0.268,-0.854
Street km/km2,0.846,0.807,0.921,1.000,0.530,0.757,0.207,0.477,-0.355,-0.347,-0.446,0.414,-0.843
ES Crashes,0.597,0.640,0.689,0.530,1.000,0.909,0.869,0.850,0.100,0.043,-0.193,-0.182,-0.637
Crashes/km2,0.686,0.707,0.811,0.757,0.909,1.000,0.750,0.864,-0.082,-0.005,-0.382,0.039,-0.764
Crashes/10km Street,0.214,0.275,0.332,0.207,0.869,0.750,1.000,0.763,0.473,0.406,-0.204,-0.375,-0.386
Crashes/10km BP,0.521,0.591,0.622,0.477,0.850,0.864,0.763,1.000,0.109,0.215,-0.468,-0.244,-0.758
Crashes/10M Trips,-0.545,-0.527,-0.418,-0.355,0.100,-0.082,0.473,0.109,1.000,0.621,-0.118,0.009,0.127
Severity %,-0.420,-0.379,-0.347,-0.347,0.043,-0.005,0.406,0.215,0.621,1.000,-0.292,-0.429,0.082
BP km,-0.143,-0.164,-0.307,-0.446,-0.193,-0.382,-0.204,-0.468,-0.118,-0.292,1.000,0.286,0.700
BP km/km2,0.282,0.200,0.268,0.414,-0.182,0.039,-0.375,-0.244,0.009,-0.429,0.286,1.000,0.039
BP Share %,-0.739,-0.757,-0.854,-0.843,-0.637,-0.764,-0.386,-0.758,0.127,0.082,0.700,0.039,1.000
