variable,Street km,Daily Trips,Daily Trips/km2,Street km/km2,ES Crashes,Crashes/km2,Crashes/10km Street,Crashes/10km BP,Crashes/10M Trips,Severity %,BP km,BP km/km2,BP Share %
Street km,1.000,0.986,0.946,0.846,0.861,0.886,0.668,0.692,-0.685,0.284,-0.250,0.239,-0.804
Daily Trips,0.986,1.000,0.946,0.811,0.886,0.889,0.700,0.747,-0.685,0.228,-0.304,0.121,-0.836
Daily Trips/km2,0.946,0.946,1.000,0.929,0.864,0.936,0.704,0.786,-0.643,0.298,-0.461,0.264,-0.904
Street km/km2,0.846,0.811,0.929,1.000,0.718,0.882,0.593,0.648,-0.650,0.431,-0.532,0.429,-0.843
ES Crashes,0.861,0.886,0.864,0.718,1.000,0.929,0.918,0.912,-0.217,0.095,-0.343,0.057,-0.814
Crashes/km2,0.886,0.889,0.936,0.882,0.929,1.000,0.864,0.874,-0.385,0.291,-0.529,0.189,-0.882
Crashes/10km Street,0.668,0.700,0.704,0.593,0.918,0.864,1.000,0.874,0.196,0.175,-0.414,-0.014,-0.732
Crashes/10km BP,0.692,0.747,0.786,0.648,0.912,0.874,0.874,1.000,-0.238,0.322,-0.692,-0.231,-0.885
Crashes/10M Trips,-0.685,-0.685,-0.643,-0.650,-0.217,-0.385,0.196,-0.238,1.000,-0.151,0.280,0.035,0.552
Severity %,0.284,0.228,0.298,0.431,0.095,0.291,0.175,0.322,-0.151,1.000,-0.448,0.270,-0.466
BP km,-0.250,-0.304,-0.461,-0.532,-0.343,-0.529,-0.414,-0.692,0.280,-0.448,1.000,0.261,0.707
BP km/km2,0.239,0.121,0.264,0.429,0.057,0.189,-0.014,-0.231,0.035,0.270,0.261,1.000,0.029
BP Share %,-0.804,-0.836,-0.904,-0.843,-0.814,-0.882,-0.732,-0.885,0.552,-0.466,0.707,0.029,1.000
