variable,Street km,Daily Trips,Daily Trips/km2,Street km/km2,ES Crashes,Crashes/km2,Crashes/10km Street,Crashes/10km BP,Crashes/10M Trips,Severity %,BP km,BP km/km2,BP Share %
Street km,1.000,0.989,0.939,0.846,0.775,0.829,0.554,0.671,-0.691,0.019,-0.382,-0.007,-0.800
Daily Trips,0.989,1.000,0.936,0.825,0.776,0.829,0.564,0.734,-0.709,-0.051,-0.404,-0.046,-0.818
Daily Trips/km2,0.939,0.936,1.000,0.946,0.751,0.882,0.546,0.671,-0.664,-0.051,-0.582,0.032,-0.879
Street km/km2,0.846,0.825,0.946,1.000,0.649,0.850,0.464,0.538,-0.691,-0.014,-0.614,0.121,-0.832
ES Crashes,0.775,0.776,0.751,0.649,1.000,0.914,0.941,0.837,0.077,0.096,-0.492,-0.322,-0.823
Crashes/km2,0.829,0.829,0.882,0.850,0.914,1.000,0.836,0.930,-0.245,0.098,-0.711,-0.254,-0.925
Crashes/10km Street,0.554,0.564,0.546,0.464,0.941,0.836,1.000,0.769,0.500,0.247,-0.496,-0.432,-0.714
Crashes/10km BP,0.671,0.734,0.671,0.538,0.837,0.930,0.769,1.000,-0.127,-0.116,-0.741,-0.615,-0.909
Crashes/10M Trips,-0.691,-0.709,-0.664,-0.691,0.077,-0.245,0.500,-0.127,1.000,0.265,0.118,-0.209,0.373
Severity %,0.019,-0.051,-0.051,-0.014,0.096,0.098,0.247,-0.116,0.265,1.000,0.256,0.307,0.265
BP km,-0.382,-0.404,-0.582,-0.614,-0.492,-0.711,-0.496,-0.741,0.118,0.256,1.000,0.507,0.804
BP km/km2,-0.007,-0.046,0.032,0.121,-0.322,-0.254,-0.432,-0.615,-0.209,0.307,0.507,1.000,0.354
BP Share %,-0.800,-0.818,-0.879,-0.832,-0.823,-0.925,-0.714,-0.909,0.373,0.265,0.804,0.354,1.000
