variable,Street km,Daily Trips,Daily Trips/km2,Street km/km2,ES Crashes,Crashes/km2,Crashes/10km Street,Crashes/10km BP,Crashes/10M Trips,Severity %,BP km,BP km/km2,BP Share %
Street km,1.000,0.982,0.964,0.846,0.771,0.871,0.475,0.560,-0.699,0.287,-0.143,0.282,-0.754
Daily Trips,0.982,1.000,0.961,0.807,0.804,0.886,0.521,0.643,-0.678,0.238,-0.175,0.179,-0.775
Daily Trips/km2,0.964,0.961,1.000,0.921,0.764,0.925,0.514,0.698,-0.699,0.224,-0.311,0.304,-0.861
Street km/km2,0.846,0.807,0.921,1.000,0.536,0.793,0.300,0.489,-0.762,0.224,-0.450,0.504,-0.832
ES Crashes,0.771,0.804,0.764,0.536,1.000,0.893,0.911,0.747,0.000,-0.063,0.050,0.039,-0.564
Crashes/km2,0.871,0.886,0.925,0.793,0.893,1.000,0.754,0.863,-0.350,0.021,-0.261,0.196,-0.793
Crashes/10km Street,0.475,0.521,0.514,0.300,0.911,0.754,1.000,0.654,0.490,-0.392,0.071,-0.057,-0.396
Crashes/10km BP,0.560,0.643,0.698,0.489,0.747,0.863,0.654,1.000,-0.266,0.077,-0.456,-0.187,-0.747
Crashes/10M Trips,-0.699,-0.678,-0.699,-0.762,0.000,-0.350,0.490,-0.266,1.000,-0.671,0.538,-0.126,0.804
Severity %,0.287,0.238,0.224,0.224,-0.063,0.021,-0.392,0.077,-0.671,1.000,-0.154,-0.154,-0.399
BP km,-0.143,-0.175,-0.311,-0.450,0.050,-0.261,0.071,-0.456,0.538,-0.154,1.000,0.221,0.686
BP km/km2,0.282,0.179,0.304,0.504,0.039,0.196,-0.057,-0.187,-0.126,-0.154,0.221,1.000,-0.011
BP Share %,-0.754,-0.775,-0.861,-0.832,-0.564,-0.793,-0.396,-0.747,0.804,-0.399,0.686,-0.011,1.000
